古代帝王的女婿，也就是公主的丈夫通常被称为什么爷	驸马爷
儿歌“一闪一闪亮晶晶”的下一句是什么	爱的小星星 专辑:非你莫属 作词:莫小娘 作曲:莫小娘 编曲:韦波安 混音:韦波安 演唱:莫小娘&韦波安
哥伦比亚的人均收入是多少	93
NBA历史上著名的奥本山宫事件中的奥本山宫是那只NBA球队的主场	底特律活塞
网球名将李娜的老公是哪位国内知名网球教练	姜山 从小和李娜一起在湖北省队训练 后来放弃了职业选手成为了李娜的教练
“凯撒大帝”是古代哪个国家的杰出军事统领	古罗马
世界面积第一大沙漠是什么	撒哈拉沙漠 撒哈拉沙漠游是突尼斯旅游的另一个重要内容,而且近年来行情看涨
“钢丝”是哪位艺人的粉丝最常用的称呼	不是李玉刚的粉丝吗
源自日文对姐蛆的敬称，很多人会把成熟的强势的女性叫什么	强势的女性叫 御姐
演唱了电影《狮子王》主题曲和《风中之烛》的是哪位英国著名音乐人	艾尔顿·约翰
迪斯尼的哪部电影，讲述了一个由猿抚育成人的森林英雄的故事	人猿泰山
2000年哪位中国运动员获得悉尼奥运会女子10米气手枪冠军	陶璐娜
据第六次人口普查结果，我国人口数量最多的少数民族自治区是哪一个	广西壮族
机器猫哆啦A梦是大雄的哪位亲属派过来保护他的	大雄的孙子
前苏联重要节日群众集会和阅兵“红场”位于现在的哪个欧洲国家	俄罗斯
与颜真卿并称“颜筋柳骨”的唐代著名书法家是谁	柳公权
被称为“世界第八奇观”的是什么	兵马俑：秦始皇兵马俑博物馆，是建立在兵马俑坑原址上的遗址性博物馆
晋朝开国君主司马炎之后的一位晋国君主是谁	司马衷
日本动漫《圣斗士星矢》中，青铜五战士中的一辉的弟弟叫什么名字	一辉的弟弟叫 阿顺
“才自精明志自高”是《红楼梦》中谁的判词	探春
中国第一大岛是哪个	库页岛历史上曾经是中国的.库页岛是原中国最大的岛屿
陈凯歌导演的电影《梅兰芳》中，扮演“冬皇”孟小冬的是哪位演员	章子怡
80年代著名歌唱组合“达明一派”中，明是黄耀明，达是谁	刘以达
比喻培养人才是长久之计时，我们通常说“十年树木”，后面一句是什么	百年树人
中国最大的沙漠是哪个	塔克拉玛干大沙漠位于塔里木盆地中央，东西长约
发表了著名的“铁幕演说”的是二战时期的哪位领导人	丘吉尔哦
微软公司推出的官司方浏览器的图标是哪个英文字母	E 英文字母
小说《封神演义》中，“托塔天王”李靖曾经是什么关的总兵	小说《封神演义》中,“托塔天王”李靖曾经是陈塘关的总兵
著名音乐人李宗盛的前妻是哪位女星	林忆莲 林忆莲 林忆莲 林忆莲 林忆莲 林忆莲 林忆莲 林忆莲 林忆莲
演唱了《长城》，《不再犹豫》的香港殿堂级摇滚乐队叫什么	摇滚乐队叫 beyond
我国首次世界园艺博览会是在哪个城市举办的	第三十届世界园艺博览会从2011年4月28日开始,至10月22日结束在陕西省西安市举
有着“黑曼巴”称号的是哪支湖人队的NBA巨星	科比
《天龙八部》中，段誉来自大理国，请问大理国都城在现在我国哪个省境内	云南 省境内
悉尼奥运会中国代表团的指定饮料是什么	芝麻团  芝麻将  财富商城  知道之星  知道活动 ...2008-08-30 奥运会中国运动员喝的蓝色饮料是什么啊...佳得乐是NBA指定饮料 百事产的
街头用于抢险救灾的消防栓，主体是什么颜色	红色
曾经效力于大连万达队被誉为“亚洲第一前锋”的是我国哪位著名国脚	郝海东
第一位专职青少年节目主持人，曾主持《七巧板》节目的是什么姐姐	鞠萍哦
什么样的人可称为君子	两千多年前,孔子及其门徒重点研究了两种人,一为君子,二为小人
李白提到的蜀道，在如今哪个省内	四川哦
利用七块几何形状的板拼成不同形状的一种益智玩具叫什么	益智玩具叫七巧板
我国第一个实现特殊经济政策和管理体制的经济特区是哪个城市	深圳
1965年苏联著名作家肖洛霍夫因为哪本书获得了诺贝尔文学奖	《静静的顿河》
美剧《绯闻女孩》讲述了一群生活在曼哈顿的青少年的故事，曼哈顿属于哪个美国大都市	曼哈顿属于 纽约
活着的大闸蟹背是青色，煮熟后会变成什么颜色	红色
1911年“中国同盟会”的领袖，被称为“中华民国国父”的是哪位革命家	孙中山
美国在哪些年发射过火星探测器	第一宇宙速度:v=7.9km/s;它是卫星在地面附近绕地球做匀速圆周运动所必须具备的速度.第二宇宙速度:v=11.2km/s.它是卫
美国历史上第一位女国务卿奥尔布赖特任职于哪位美国总统的执政期	克林顿
第一次播放CNN是什么时候	《新闻联播》 　　发展史 　　1976年7月1日,北京电视台第一次试播《全国电视新闻联播》,播出时间10~15分钟,只有外景片,没有播音间的口播
地球上海洋面积有多大	地球总表面积 5.11亿平方千米 地球陆地面积 1.49亿平方千米(约为地球表面积的29%) 地球海洋面积 3.62亿平方千米(约为地球表面积的71%)
“质能方程”是哪位著名物理学家提出的	爱因斯坦
我国“八一双鹿队”现任维吾尔族主教练，被誉为“篮球场上的魔术师”的是谁	阿的江 现任维吾尔族主教练
《清明上河图》描绘的是哪个朝代的市井生活	宋/北宋
以色列是哪个民族的人最集中的国家	那块土地本名叫“巴勒斯坦
有微笑天使之称的宠物犬是什么犬	萨摩耶
率领西班牙男子足球队夺得2012年欧洲杯的主教练叫什么名字	博斯克第五轮:李立成PK杨雪娇1、著名的美索不达米亚平原位于五大洲中的哪个大洲?亚洲2、
人们常用“接风”和什么此连用来形容宴请远道而来的客人	接风洗尘
流行歌曲《蝴蝶泉边》中唱到的蝴蝶泉位于云南的哪座城市	位于云南的 大理
波尔是谁	波尔是川藏线服务站的老板,淘宝上搜得到他的店,实体店我也去过,很小
世界上历史最悠久的树是什么树	一、世界上最大的树：它是美国加利福尼亚的一棵巨杉
歌曲《美丽笨女人》的原唱是哪位著名女歌手	李玟
生活中与“三伏”相对，一年中最冷的日子我们称为什么	初伏、中伏、末伏这三个伏日,是一年中最热的三天,故又称为“三伏日”、“三伏天”
豫剧《七品芝麻官》中“当官不为民做主”后一句是什么	不如回家卖红薯
东北林业大学的面积是多少	136
江西第一个世界自然遗产，被誉为“江南第一仙山”的是哪座山	江南第一仙山”的是 三清山
大气中含量最高的元素是什么	大气中氮气体积分数占78%,氧气占21%,二氧化碳占0.5%左右,稀有气体(氦、氖、氩、氪、氙、氡)占0.5%左右.含量最高的是氮如果硬要挤出三种,那应该
汉字中的“廿”表示的是阿拉伯数字的几十	20,太简单位了
朱自清的散文《背影》，描写的是作者的什么亲属送别他远行的场景	父亲
南京的紫金山又叫什么山	夫子庙 Confucius Temple 玄武湖 Xuanwu Lake 中山陵 Dr.Sun Yatsen's Mausoleum 紫金山 Purple Mountain or Zijin Mountain乌衣巷拿不准我有南京的英文
丝绸之路贯穿哪两块大陆	中国和阿拉伯
民间说法中炸油条的来历和南宋年间哪位奸臣有关	秦桧
我们通常将拨打电话时，被叫方处于通话忙碌状态称作为什么	　　占线的主要原因: 对方正在给别人打电话 对方在给自己打电话 对方电话未放好 电话机之间线路忙指拨打电话时,被叫方处于通话状态
俗语说“酒香不怕什么深”	说实话,在这什么都是“速成”的时代是行不通,就算酒香不怕巷子深,可是要让酒挥发出香味也是需要时间的
扑克牌中的“Q”代表的是什么	　　J---Jack Q---Queen K---King 　　扑克(poker)有两种意思,一是指扑克牌,也叫纸牌(playing cards),另一个是指以用纸牌来玩的游戏,称为扑克
台湾第一位巡抚，被称为“台湾近代化之父”的是谁	刘铭传
《红楼梦》中，甄士隐被拐走的女儿叫什么名字	甄英莲
打开中美建交大门的最早的外交活动是什么	“乒乓外交” ,中美正式建交
晚上看电视时屋里的灯应该怎样	日光灯应该关闭. 小功率的白炽灯应该打
以描述汉武市井生活为特色，代表作有《生活秀》和《来来往往》的女作家是哪位	女作家 池莉
沙林毒气的主要成分是什么	沙林，学名甲氟膦酸异丙酯，是二战期间德国纳粹研发的一种致命神经性毒气，可以麻痹人的中枢神经
意大利有一座被活火山活埋的城市，叫什么	公元79年被火山活埋的意大利庞贝古城
香港经典电视剧《刑事侦缉档案1》中，男主角张大勇警官由哪位男演员扮演	陶大宇 扮演
歌手范玮琪的老公叫什么名字	范玮琪个人资料及照片
北京的得名是从哪个朝代开始	北京的得名是从哪个朝代开始? 明朝
我们把能抑制牲畜脂肪生长，促进精肉生长的药物叫什么	瘦肉精 瘦肉精 瘦肉精
《薛家将》《呼家将》与哪一部小说构成了我国通俗小说史上著名的“三大家将小说”	《薛家将》、《杨家将》、《呼家将》等构成了我国通俗小说史上著名的“三大家将小说”
在系列电影《暮光之城》中，由罗伯特.帕丁森饰演的吸血鬼男主角叫什么名字	爱德华
08奥运会篮球比赛场馆的名字是	比赛场馆 · 国家体育场 · 国家游泳中心 · 国家体育馆 · 北京射击馆 · 五棵松篮球馆 · 老山自行车馆 · 顺义奥林匹克水上公园 · 中国农业大学
女生把找到有身份地位有前途的男人做老公时，一般会说钓到什么	金龟婿
台湾歌坛著名歌手齐豫的弟弟叫什么	弟弟叫 齐秦
“有心栽花花不开”的下一句是什么	无心插柳柳成阴 希望采纳
古代的五音宫商角徵羽中的羽在现在简谱中写作哪个数字	6
英文child单词在后面加哪三个英文字母表示复数形式	LZman复数形式为menarmchair(我想你可能拼错了)armchairspicture:pictureswindow:windowsknife:knivesbook:booksplate:platesbox:boxeshouswife:houswifi
干葡萄酒的特点是什么	葡萄酒按糖份来划分的话,可以分为干型、半干型、半甜及甜型四种,都有高档的和廉价的:干型糖度:1000毫升含4克以下的糖;半干型糖度:1000毫升含4克
我国哪一银行执行中央银行的职能	人民银行三, 中农工建都是商业银行了,人民银行是银行的银行,不过现在人民银行的职能被分化了
中古阿拉伯民间故事总集《一千零一夜》又名什么	《天方夜谭》
“水灵”是哪位内地女演员的艺名	蒋勤勤
缅甸最长河流萨尔温江在我国境内被称为什么江	怒江
对人体来说安全电压是多少伏	36
《伤寒杂病论》是东汉末年哪位著名医学家的著作	张仲景
中国有多少个省	23
铂金的元素符号是哪两个字母	铂金的元素符号是PT
我国有三大平原，分别是东北平原、长江中下游平原和什么平原	我国三大平原:东北平原,华北平原,长江中下游平
秦观的《鹊桥仙》中，“两情若是长久时”下一句是什么	又岂在朝朝暮暮
在童话《红鞋》中，主人公穿上红鞋会不停地做什么事情	跳舞
黄酒名品“加饭酒”产地是哪个省	浙
今年伦敦奥运会女子团体操比赛有几个项目	4
“明月几时有，把酒问青天”这首词指的是哪个传统节日	中秋
nba篮球比赛中，正常情况下，全场一共分为几节进行	2
原名叶绍钧，代表作有《稻草人》的我国著名教育家，作家的是谁	叶圣陶
巴拿马运河何时才归巴拿马管理	现在由巴拿马运河管理局负责管理,而管理局只向巴拿马政府负责,即收入归巴拿马政府
希腊奥林珀斯十二主神之一，象征战争与智慧的女神是谁	雅典娜
与熊黛林传出绯闻6年有余的香港男星是	郭富城
位于新疆的玉龙喀什河发源于什么山脉	昆仑山,这都不知道
